Mantis/Jira,Type,Topt,FOV,Row,Target,Type,35s frames,Topt - Tpor,Tpor1,Tpor2,Tpor3,Tpor4,VPUs,OBMT Tpor1 (ns),Comments
N/A,outreach,?,2,?,NGC 2516 (Caldwell 96),Open cluster,4,71,2014-01-23T17:05:59.000Z,2014-01-23T17:06:34.000Z,2014-01-23T17:07:09.000Z,2014-01-23T17:07:44.000Z,1234567,7242787891848760,"No Mantis, No CDB. Simultaneous. Tpor: Webmust release time"
N/A,outreach,?,1,?,"NGC 6543 (Caldwell 6, Cat's eye nebula)",Planetary nebula,4,71,2014-01-23T18:33:45.000Z,2014-01-23T18:34:20.000Z,2014-01-23T18:34:55.000Z,2014-01-23T18:35:30.000Z,1234567,7248053891852820,"No Mantis, No CDB. Simultaneous. Tpor: Webmust release time"
N/A,outreach,?,2,?,"NGC 6543 (Caldwell 6, Cat's eye nebula)",Planetary nebula,4,71,2014-01-23T20:20:18.000Z,2014-01-23T20:20:53.000Z,2014-01-23T20:21:28.000Z,2014-01-23T20:22:03.000Z,1234567,7254446891857740,"No Mantis, No CDB. Simultaneous. Tpor: Webmust release time"
N/A,outreach,?,1,?,NGC 2516 (Caldwell 96),Open cluster,4,71,2014-01-24T21:19:26.000Z,2014-01-24T21:20:01.000Z,2014-01-24T21:20:36.000Z,2014-01-24T21:21:11.000Z,1234567,7344394891935160,"No Mantis, No CDB. Simultaneous. Tpor: Webmust release time"
N/A,outreach,?,2,?,NGC 2516 (Caldwell 96),Open cluster,4,71,2014-01-24T23:05:59.000Z,2014-01-24T23:06:34.000Z,2014-01-24T23:07:09.000Z, 2014-01-24 23:07:44.000Z,1234567,7350787891939470,"No Mantis, No CDB. Simultaneous. Tpor: Webmust release time"
N/A,outreach,?,2,?,"NGC 6543 (Caldwell 6, Cat's eye nebula)",Planetary nebula,4,71,2014-01-25T20:20:17.000Z,2014-01-25T20:20:52.000Z,2014-01-25T20:21:27.000Z,2014-01-25T20:22:02.000Z,1234567,7427245891991040,"No Mantis, No CDB. Simultaneous. Tpor: Webmust release time"
N/A,outreach,?,1,?,NGC 4736 (Messier 94),Galaxy,4,71,2014-01-26T19:21:34.000Z,2014-01-26T19:22:09.000Z,2014-01-26T19:22:44.000Z,2014-01-26T19:23:19.000Z,1234567,7510122892046940,"No Mantis, No CDB. Simultaneous. Tpor: Webmust release time"
N/A,outreach,?,1,?,NGC 1818,Globular cluster,4,71,2014-01-27T03:39:08.000Z,2014-01-27T03:39:43.000Z,2014-01-27T03:40:18.000Z,2014-01-27T03:40:53.000Z,1234567,7539976892067070,"No Mantis, No CDB. Simultaneous. Tpor: Webmust release time"
N/A,outreach,?,2,?,Galactic plane (b = 0),Galactic plane,4,71,2014-01-30T16:52:25.000Z,2014-01-30T16:53:00.000Z,2014-01-30T16:53:35.000Z,2014-01-30T16:54:10.000Z,1234567,7846773892353360,"No Mantis, No CDB. Simultaneous. Tpor: Webmust release time"
N/A,outreach,?,1,?,Galactic plane (b = 0),Galactic plane,4,71,2014-01-30T18:05:58.000Z,2014-01-30T18:06:33.000Z,2014-01-30T18:07:08.000Z,2014-01-30T18:07:43.000Z,1234567,7851186892357250,"No Mantis, No CDB. Simultaneous. Tpor: Webmust release time"
